file,frame,distance_safe,sitting
60cm.h5,245,True,True
60cm.h5,246,True,True
60cm.h5,247,True,True
60cm.h5,248,True,True
60cm.h5,249,True,True
60cm.h5,250,True,True
60cm.h5,251,True,True
60cm.h5,252,True,True
60cm.h5,253,True,True
60cm.h5,254,True,True
60cm.h5,255,True,True
60cm.h5,256,True,True
60cm.h5,257,True,True
60cm.h5,258,True,True
60cm.h5,259,True,False
60cm.h5,260,True,False
60cm.h5,261,True,False
60cm.h5,262,True,True
60cm.h5,263,True,True
60cm.h5,264,True,True
60cm.h5,265,True,True
60cm.h5,266,True,True
60cm.h5,267,True,True
60cm.h5,268,True,True
60cm.h5,269,True,True
60cm.h5,270,True,True
60cm.h5,271,True,True
60cm.h5,272,True,True
60cm.h5,273,True,True
60cm.h5,274,True,True
60cm.h5,275,True,False
60cm.h5,276,True,False
60cm.h5,277,True,True
60cm.h5,278,True,True
60cm.h5,279,True,True
60cm.h5,280,True,True
60cm.h5,281,True,True
60cm.h5,282,True,True
60cm.h5,283,True,True
60cm.h5,284,True,True
60cm.h5,285,True,True
60cm.h5,286,True,True
60cm.h5,287,True,True
60cm.h5,288,True,True
60cm.h5,289,True,True
60cm.h5,290,True,True
60cm.h5,291,True,False
60cm.h5,292,True,True
60cm.h5,293,True,True
60cm.h5,294,True,True
60cm.h5,295,True,True
60cm.h5,296,True,True
60cm.h5,297,True,True
60cm.h5,298,True,True
60cm.h5,299,True,True
60cm.h5,300,True,True
60cm.h5,301,True,True
60cm.h5,302,True,True
60cm.h5,303,True,True
60cm.h5,304,True,True
60cm.h5,305,True,True
60cm.h5,306,True,True
60cm.h5,307,True,True
60cm.h5,308,True,True
60cm.h5,309,True,True
60cm.h5,310,True,True
60cm.h5,311,True,True
60cm.h5,312,True,True
60cm.h5,313,True,True
60cm.h5,314,True,True
60cm.h5,315,True,True
60cm.h5,316,False,True
60cm.h5,317,False,True
60cm.h5,318,False,True
60cm.h5,319,False,True
60cm.h5,320,False,True
60cm.h5,321,False,True
60cm.h5,322,True,True
60cm.h5,323,True,True
60cm.h5,324,True,True
60cm.h5,325,True,True
60cm.h5,326,True,True
60cm.h5,327,True,True
60cm.h5,328,True,True
60cm.h5,329,True,True
60cm.h5,330,True,True
60cm.h5,331,True,True
60cm.h5,332,True,True
60cm.h5,333,True,True
60cm.h5,334,True,True
60cm.h5,335,True,False
60cm.h5,336,True,False
60cm.h5,337,True,True
60cm.h5,338,True,True
60cm.h5,339,True,False
60cm.h5,340,True,True
60cm.h5,341,True,True
60cm.h5,342,True,True
60cm.h5,343,True,False
60cm.h5,344,True,True
60cm.h5,345,True,True
60cm.h5,346,True,True
60cm.h5,347,True,True
60cm.h5,348,True,True
60cm.h5,349,True,True
60cm.h5,350,True,True
60cm.h5,351,True,True
60cm.h5,352,True,True
60cm.h5,353,True,False
60cm.h5,354,True,True
60cm.h5,355,True,True
60cm.h5,356,True,True
60cm.h5,357,True,True
60cm.h5,358,True,True
60cm.h5,359,True,True
60cm.h5,360,True,True
60cm.h5,361,True,True
60cm.h5,362,True,True
60cm.h5,363,True,False
60cm.h5,364,True,True
60cm.h5,365,True,True
60cm.h5,366,True,True
60cm.h5,367,True,True
60cm.h5,368,True,True
60cm.h5,369,True,True
60cm.h5,370,True,True
60cm.h5,371,True,True
60cm.h5,372,True,True
60cm.h5,373,True,False
60cm.h5,374,True,True
60cm.h5,375,True,False
60cm.h5,376,True,True
60cm.h5,377,True,True
60cm.h5,378,True,True
60cm.h5,379,True,True
60cm.h5,380,True,True
60cm.h5,381,True,True
60cm.h5,382,True,True
60cm.h5,383,True,True
60cm.h5,384,True,True
60cm.h5,385,True,True
60cm.h5,386,True,True
60cm.h5,387,True,True
60cm.h5,388,True,True
60cm.h5,389,True,True
60cm.h5,390,True,True
60cm.h5,391,True,True
60cm.h5,392,True,True
60cm.h5,393,True,True
60cm.h5,394,True,True
60cm.h5,395,True,True
60cm.h5,396,True,True
60cm.h5,397,True,True
60cm.h5,398,True,True
60cm.h5,399,True,True
60cm.h5,400,True,True
60cm.h5,401,True,True
60cm.h5,402,True,True
60cm.h5,403,True,True
60cm.h5,404,True,True
60cm.h5,405,True,True
60cm.h5,406,True,True
60cm.h5,407,True,True
60cm.h5,408,True,True
60cm.h5,409,True,True
60cm.h5,410,True,True
60cm.h5,411,True,True
60cm.h5,412,True,True
60cm.h5,413,True,True
60cm.h5,414,True,False
60cm.h5,415,True,True
60cm.h5,416,True,True
60cm.h5,417,True,True
60cm.h5,418,True,True
60cm.h5,419,True,True
60cm.h5,420,True,True
60cm.h5,421,True,True
60cm.h5,422,True,True
60cm.h5,423,True,True
60cm.h5,424,True,True
60cm.h5,425,True,True
60cm.h5,426,True,True
60cm.h5,427,True,True
60cm.h5,428,True,True
60cm.h5,429,True,True
60cm.h5,430,True,True
60cm.h5,431,True,True
60cm.h5,432,True,True
60cm.h5,433,True,True
60cm.h5,434,True,True
60cm.h5,435,True,True
60cm.h5,436,True,True
60cm.h5,437,True,True
60cm.h5,438,True,True
60cm.h5,439,True,True
60cm.h5,440,True,True
60cm.h5,441,True,True
60cm.h5,442,True,True
60cm.h5,443,True,True
60cm.h5,444,True,True
60cm.h5,445,True,True
60cm.h5,446,True,True
60cm.h5,447,True,True
60cm.h5,448,True,True
60cm.h5,449,True,True
60cm.h5,450,True,True
60cm.h5,451,True,True
60cm.h5,452,True,True
60cm.h5,453,True,True
60cm.h5,454,True,True
60cm.h5,455,True,True
60cm.h5,456,True,True
60cm.h5,457,True,True
60cm.h5,458,True,True
60cm.h5,459,True,True
60cm.h5,460,True,True
60cm.h5,461,True,True
60cm.h5,462,True,True
60cm.h5,463,True,True
60cm.h5,464,True,True
60cm.h5,465,True,True
60cm.h5,466,True,True
60cm.h5,467,True,True
60cm.h5,468,True,True
60cm.h5,469,True,True
60cm.h5,470,True,True
60cm.h5,471,True,True
60cm.h5,472,True,True
60cm.h5,473,True,True
60cm.h5,474,True,True
60cm.h5,475,True,True
60cm.h5,476,True,True
60cm.h5,477,True,True
60cm.h5,478,False,True
60cm.h5,479,False,True
60cm.h5,480,False,True
60cm.h5,481,True,True
60cm.h5,482,True,True
60cm.h5,483,True,True
60cm.h5,484,True,True
60cm.h5,485,True,True
60cm.h5,486,True,True
60cm.h5,487,True,True
60cm.h5,488,True,True
60cm.h5,489,True,True
60cm.h5,490,True,True
60cm.h5,491,True,True
60cm.h5,492,True,True
60cm.h5,493,True,True
60cm.h5,494,True,True
60cm.h5,495,True,True
60cm.h5,496,True,True
60cm.h5,497,True,True
60cm.h5,498,True,True
60cm.h5,499,True,True
60cm.h5,500,False,True
